datetime,ticker,n_contracts,side,curr_ask,ev
2024-04-11T15:50:01.016619,INX-24APR11-B5187,-541.0,yes,19,0
2024-04-11T15:50:01.016714,INX-24APR11-B5212,-887.0,no,20,0
2024-04-11T15:51:00.602783,INX-24APR11-B5187,159.0,no,70,10.287434957048646
2024-04-11T15:51:00.662025,INX-24APR11-B5212,206.0,yes,67,12.766539726658706
2024-04-11T15:55:01.014695,INX-24APR11-B5187,-159.0,no,77,0
2024-04-11T15:55:01.014782,INX-24APR11-B5212,-206.0,yes,77,0
2024-04-11T15:56:00.568035,INX-24APR11-B5187,681.0,yes,20,3.1745661008117843
2024-04-11T15:56:00.630136,INX-24APR11-B5212,695.0,no,20,3.2380569555874708
2024-04-11T15:57:00.616416,INX-24APR11-B5187,36.0,yes,19,2.9079236544561375
2024-04-11T15:57:00.671771,INX-24APR11-B5212,37.0,no,19,2.9784593288480004
2024-04-11T15:58:00.553930,INX-24APR11-B5187,33.0,yes,12,7.189473553844046
2024-04-11T15:58:00.609148,INX-24APR11-B5212,33.0,no,12,7.269362921964305
2024-04-11T15:59:00.569910,INX-24APR11-B5187,7.0,no,82,4.988855900871982
2024-04-11T15:59:00.624565,INX-24APR11-B5212,9.0,yes,81,5.901035529276555
2024-04-11T15:59:01.037961,INX-24APR11-T5100,-3404.0,yes,0,0
2024-04-11T15:59:01.038035,INX-24APR11-B5237,-1132.0,yes,0,0
2024-04-11T15:59:01.038075,INX-24APR11-B5187,-757.0,yes,18,0
2024-04-11T15:59:01.038111,INX-24APR11-B5212,-774.0,no,19,0
